AlgorithmID,AlgorithmName,EnglishName,ParentCategory,AlgorithmType,TimeComplexity,SpaceComplexity,Stability,UseCases,CoreIdea,ApplicableDomains,ProsConsAnalysis
A001,冒泡排序,Bubble Sort,排序,比较排序,O(n^2),O(1),稳定,小规模数据排序;教学示例,重复遍历待排序的列表，比较相邻的两个元素，如果顺序错误就交换它们。遍历列表的工作是重复地进行直到没有再需要交换，也就是说该列表已经排序完成。每一次遍历至少会将一个元素（最大或最小）放到其最终位置。,计算机科学;软件工程,优点：算法思想简单，易于理解和实现，代码量少。缺点：时间复杂度高，效率低下，不适合大规模数据排序。在所有排序算法中，冒泡排序的性能是最差的之一，尤其是在数据量较大时，其O(n^2)的平均和最坏时间复杂度使其变得非常慢，实际应用中很少使用。
A002,选择排序,Selection Sort,排序,比较排序,O(n^2),O(1),不稳定,小规模数据排序;教学示例,在未排序的序列中找到最小（或最大）元素，存放到排序序列的起始位置，然后再从剩余未排序元素中继续寻找最小（或最大）元素，然后放到已排序序列的末尾。以此类推，直到所有元素均排序完毕。,计算机科学;软件工程,优点：实现简单，空间复杂度为O(1)，对数据移动次数少（最多n-1次）。缺点：时间复杂度高，无论是最好、最坏还是平均情况，都是O(n^2)，不适合处理大规模数据。其性能在所有O(n^2)排序算法中相对稳定，但整体效率不高。
A003,插入排序,Insertion Sort,排序,比较排序,O(n^2),O(1),稳定,小规模数据排序;基本有序数据排序,通过构建有序序列，对于未排序数据，在已排序序列中从后向前扫描，找到相应位置并插入。就像玩扑克牌时，每次摸到一张牌，就把它插入到手中已有的牌的正确位置。,计算机科学;软件工程,优点：对于小规模数据或基本有序的数据，效率较高（接近O(n)），且是稳定的排序算法，空间复杂度为O(1)，实现简单。缺点：对于大规模的乱序数据，其O(n^2)的时间复杂度使其效率低下。
A004,快速排序,Quick Sort,排序,比较排序;分治,平均O(n log n)，最坏O(n^2),平均O(log n)，最坏O(n) (递归栈空间),不稳定,大规模数据排序;内部排序,采用分治策略。它选择一个元素作为“基准”（pivot），然后将数组分成两部分：一部分是所有小于基准的元素，另一部分是所有大于基准的元素。对这两部分递归地进行快速排序，直到整个数组有序。核心在于分区操作，使得基准元素处于其最终的有序位置。,计算机科学;软件工程;算法竞赛,优点：平均时间复杂度为O(n log n)，在实际应用中通常表现良好，是效率最高的通用排序算法之一，常用于大规模数据的排序。缺点：最坏情况下时间复杂度为O(n^2)，发生在输入数据已经有序或接近有序，且选择的基准不当（如总是选择最小或最大元素）时。快速排序是不稳定的排序算法，即相等元素的相对顺序可能会改变。
A005,归并排序,Merge Sort,排序,比较排序;分治,O(n log n),O(n),稳定,大规模数据排序;外部排序;并行排序,将序列递归地分成两半，直到每个子序列只有一个元素（自然有序）。然后，将这些子序列两两合并，每次合并都将两个有序的子序列合并成一个更大的有序子序列，直到所有元素合并成一个完整的有序序列。合并操作是其核心，通过比较两个子序列的元素并按顺序放入新数组实现。,计算机科学;软件工程;大数据处理,优点：时间复杂度稳定为O(n log n)，无论是最好、最坏还是平均情况，都保持高效。它是稳定的排序算法，适合处理大规模数据，且易于并行化。缺点：需要额外的O(n)空间来存储合并过程中的临时数组，这在内存受限的环境下可能成为瓶颈。
A006,堆排序,Heap Sort,排序,比较排序,O(n log n),O(1),不稳定,大规模数据排序;优先级队列实现,利用堆这种数据结构来排序。首先将待排序序列构造成一个大顶堆（或小顶堆），此时堆顶元素是最大（或最小）值。然后将堆顶元素与堆的最后一个元素交换，将最大（或最小）元素“沉”到数组末尾。接着对剩余的n-1个元素重新调整为堆，重复此过程，直到所有元素排序完毕。,计算机科学;软件工程;数据结构,优点：时间复杂度稳定为O(n log n)，且空间复杂度为O(1)，是一种原地排序算法，效率较高。缺点：堆排序是不稳定的排序算法。在实际应用中，由于其常数因子较大，通常比快速排序慢，且对缓存不友好。
A007,计数排序,Counting Sort,排序,非比较排序,O(n+k),O(k),稳定,整数排序;小范围整数排序,对输入数据进行计数，将每个元素出现的次数存放在一个辅助数组中，然后根据辅助数组中存储的次数，将数据按顺序输出到结果数组中。适用于整数且范围不大的数据。,计算机科学;数据处理,优点：当待排序的整数范围k不大时，时间复杂度为O(n+k)，效率非常高，是线性时间排序。它是稳定的排序算法。缺点：只能用于整数排序，且当整数范围k非常大时，需要大量的额外空间，不适合处理浮点数或字符串。
A008,桶排序,Bucket Sort,排序,非比较排序,平均O(n+k)，最坏O(n^2),O(n+k),稳定,浮点数排序;数据均匀分布的排序,将待排序的数据分到有限数量的桶里，每个桶再分别排序（可以使用其他排序算法），最后将所有桶中的数据依次取出，形成有序序列。适用于数据均匀分布的情况。,计算机科学;大数据处理,优点：当输入数据均匀分布时，平均时间复杂度可以达到O(n+k)，效率很高。它是稳定的排序算法。缺点：对数据的分布情况有要求，如果数据分布不均匀，可能导致某些桶中数据过多，退化为O(n^2)。需要额外的空间来存储桶。
A009,基数排序,Radix Sort,排序,非比较排序,O(nk),O(n+k),稳定,多位数整数排序;字符串排序,将整数按位数切割成不同的数字，然后从最低位到最高位依次进行排序。每次排序都使用一个稳定的排序算法（如计数排序）对当前位进行排序。适用于整数或可以表示为整数的数据。,计算机科学;数据处理,优点：时间复杂度为O(nk)，当k（位数）较小时，效率非常高，是线性时间排序。它是稳定的排序算法。缺点：只能用于整数或可以表示为整数的数据。需要额外的空间来存储中间结果，且实现相对复杂。
A010,线性查找,Linear Search,搜索,顺序搜索,O(n),O(1),不适用,无序数据查找;小规模数据查找,从数据序列的第一个元素开始，逐个与目标值进行比较，直到找到目标值或遍历完整个序列。如果找到则返回其位置，否则表示未找到。,计算机科学;软件工程,优点：算法简单，易于实现，对数据结构没有要求，适用于任何无序或有序的序列。缺点：效率低下，时间复杂度为O(n)，对于大规模数据查找效率极低，不适合大数据量的场景。
